attendance_id,student_id,session_id,qr_version,pin_correct,typing_time,scan_to_submit_time,fingerprint_hash,duplicate_hash,duplicate_ip,duplicate_browser,duplicate_device,duplicate_session,risk_score,rule_label,teacher_label,created_at,latitude,longitude,gps_accuracy,distance_from_campus,inside_geofence
1,STU005,17,3,1,5.0,8.46,fp_8e8669c03d83,0,1,0,0,0,16,NORMAL,0,2026-02-21T15:48:04,21.1346746,81.136265,7.14,53.89,1
2,STU074,18,6,1,5.35,17.86,fp_bfdbe1c48579,0,0,0,0,0,0,NORMAL,0,2026-02-07T12:45:28,21.1345782,81.1362266,8.02,42.62,1
3,STU028,79,4,1,3.6,8.1,fp_80190938c74d,0,0,0,0,0,0,NORMAL,0,2026-04-18T13:42:22,21.1344574,81.1362985,7.66,32.02,1
4,STU091,9,3,1,8.14,12.71,fp_0c482f9d770a,0,0,0,0,0,0,NORMAL,0,2026-01-20T11:50:08,21.1351681,81.1356501,20.22,119.93,1
5,STU031,102,4,1,2.02,6.56,fp_efa38fb643e8,0,1,0,0,1,28,NORMAL,1,2026-01-21T13:41:04,21.1343496,81.1361596,22.41,16.64,1
6,STU058,60,5,1,3.25,7.3,fp_92472e585595,0,0,0,0,0,0,NORMAL,0,2026-04-21T09:33:09,21.1350033,81.1359747,14.68,91.37,1
7,STU039,22,2,1,4.46,3.8,fp_2d167f75c1e5,0,0,0,0,0,0,NORMAL,0,2026-01-21T12:39:34,21.1345673,81.1358542,25.84,51.71,1
8,STU012,65,5,1,1.84,6.99,fp_f84a066bec8d,0,0,0,0,0,7,NORMAL,0,2026-04-20T08:05:02,21.1341574,81.1359153,19.34,25.82,1
9,STU083,99,5,1,2.54,10.37,fp_e4a7410d74d8,0,0,0,0,0,0,NORMAL,0,2026-03-07T11:51:51,21.1336493,81.1361673,19.93,61.24,1
10,STU088,52,6,0,1.66,2.47,fp_02cba4e1ed0a,0,0,0,1,0,47,SUSPICIOUS,1,2026-01-21T13:32:35,21.1340879,81.1364498,22.4,32.54,1
11,STU014,41,1,1,4.83,4.47,fp_8b74fc86e31a,0,0,0,1,0,56,SUSPICIOUS,1,2026-01-29T10:31:32,21.1314886,81.133585,9.7,402.78,0
12,STU060,64,1,1,4.12,4.74,fp_7c97fe2c2200,0,0,0,0,0,13,NORMAL,0,2026-03-22T15:18:34,21.1353665,81.1358943,8.81,132.61,1
13,STU002,109,3,1,3.13,9.46,fp_8b3ff52f7ad4,0,1,0,0,0,15,NORMAL,0,2026-02-20T16:18:04,21.1335821,81.1369026,13.82,103.21,1
14,STU050,65,5,1,2.38,10.66,fp_e121f9cf80fe,0,0,0,0,0,1,NORMAL,0,2026-03-17T13:48:09,21.1350604,81.1360144,13.64,96.85,1
15,STU026,78,1,1,3.05,7.89,fp_43dc393e5fd1,0,0,0,0,0,0,NORMAL,0,2026-02-15T13:10:25,21.1342307,81.1360668,17.02,10.25,1
16,STU079,95,5,1,3.05,20.71,fp_b7e53f4afed1,0,0,0,0,0,1,NORMAL,0,2026-02-16T09:26:37,21.1339307,81.1350713,11.09,116.82,1
17,STU040,102,6,1,2.48,2.95,fp_03204de92e11,1,0,1,1,0,64,SUSPICIOUS,1,2026-04-20T11:02:36,21.134641,81.1370266,19.98,102.39,1
18,STU090,15,3,1,3.62,2.72,fp_a29110405d89,0,0,1,0,0,44,SUSPICIOUS,1,2026-03-12T11:35:20,21.1309087,81.1331853,15.73,478.67,0
19,STU085,62,2,1,4.39,3.73,fp_f32a0d62a19a,0,0,0,0,0,0,NORMAL,0,2026-03-24T15:12:15,21.1336223,81.1359747,21.25,67.05,1
20,STU036,72,3,1,2.2,9.83,fp_7e8449abe3ec,0,0,0,0,0,0,NORMAL,0,2026-02-10T09:36:43,21.1338402,81.1351813,16.2,109.11,1
21,STU070,49,3,1,5.58,9.72,fp_ce8114ffe1af,0,0,0,0,0,1,NORMAL,0,2026-05-03T15:41:16,21.1338973,81.1374093,10.77,133.87,1
22,STU096,62,3,1,3.8,7.86,fp_28f4dae05c99,0,0,0,0,0,0,NORMAL,0,2026-01-11T16:14:40,21.1349662,81.137119,19.62,130.96,1
23,STU030,7,4,1,2.06,6.51,fp_177c3d676988,0,1,0,0,0,17,NORMAL,0,2026-03-29T15:30:41,21.1343669,81.1361658,17.86,18.57,1
24,STU026,97,6,1,3.25,14.48,fp_a5c17e24e672,0,0,0,0,0,0,NORMAL,0,2026-05-01T10:26:56,21.1341327,81.1360576,9.27,12.99,1
25,STU023,120,4,1,4.67,4.07,fp_96ba3760c211,0,0,0,0,0,0,NORMAL,0,2026-01-06T12:36:38,21.1341937,81.1350862,26.55,111.37,1
26,STU014,119,6,1,4.63,7.57,fp_f03c5f6689ef,0,0,0,0,0,0,NORMAL,0,2026-04-18T09:21:10,21.1348527,81.1358756,25.98,78.35,1
27,STU094,59,6,1,1.84,6.79,fp_3a474b00243f,1,0,0,1,0,57,SUSPICIOUS,1,2026-03-31T09:11:08,21.1340201,81.1359307,13.95,31.08,1
28,STU062,42,4,1,6.36,13.69,fp_43aa61658072,0,0,1,0,0,7,NORMAL,0,2026-02-07T13:44:15,21.1345172,81.136059,11.15,36.8,1
29,STU008,86,4,1,2.74,7.83,fp_aa75acc6f5a5,0,1,0,0,0,15,NORMAL,0,2026-02-21T11:14:08,21.1348687,81.1355501,23.79,97.62,1
30,STU062,20,3,1,4.64,13.96,fp_b1e11ea04de0,0,0,0,0,0,0,NORMAL,0,2026-04-12T11:43:48,21.1336594,81.1362674,17.51,61.14,1
31,STU077,112,5,1,3.22,8.28,fp_d21260d1ceda,0,0,0,0,0,0,NORMAL,0,2026-01-26T13:54:33,21.1354101,81.1366903,17.79,145.36,1
32,STU057,15,1,1,1.52,2.75,fp_478ecb9b7247,0,0,1,0,1,67,SUSPICIOUS,1,2026-02-24T12:52:00,21.1323385,81.1373331,18.23,240.1,0
33,STU096,28,3,1,5.77,16.57,fp_51c1c93fcb95,0,0,1,0,0,13,NORMAL,0,2026-01-09T12:26:11,21.1350319,81.1365148,27.14,99.55,1
34,STU099,18,6,1,3.87,14.14,fp_441eb468787e,0,0,0,0,0,2,NORMAL,0,2026-02-22T09:43:42,21.1351427,81.1353381,15.11,135.11,1
35,STU070,18,2,1,2.94,3.62,fp_71bb6edaaf28,0,1,0,1,0,62,SUSPICIOUS,1,2026-03-14T14:52:14,21.1377926,81.1296302,23.42,786.28,0
36,STU032,59,6,1,4.71,17.98,fp_a597e8521a58,0,0,0,0,0,0,NORMAL,0,2026-01-31T09:06:38,21.1332128,81.1352279,28.28,146.27,1
37,STU005,58,1,1,3.94,18.2,fp_d7cbccfd1e75,0,0,0,0,0,10,NORMAL,0,2026-02-03T13:36:38,21.1329437,81.1358163,23.37,144.17,1
38,STU099,87,2,1,1.23,13.03,fp_c727b52cece3,0,0,0,0,0,9,NORMAL,0,2026-03-26T14:35:31,21.133137,81.136848,10.43,138.07,1
39,STU007,45,5,1,4.16,7.87,fp_98fdbc3aeb62,0,0,0,0,0,3,NORMAL,0,2026-02-04T11:19:54,21.1344556,81.1365333,13.16,48.03,1
40,STU091,19,5,1,4.17,3.68,fp_e4ce4d58b672,0,0,0,0,0,1,NORMAL,0,2026-03-28T09:59:28,21.1336637,81.1360503,13.49,60.71,1
41,STU048,12,3,1,2.26,5.98,fp_332bf13ca47c,1,0,0,1,0,70,SUSPICIOUS,1,2026-04-26T13:19:58,21.1348114,81.1343266,18.86,201.95,0
42,STU002,28,6,1,4.86,3.86,fp_ae832bc5bc44,0,0,1,1,1,48,SUSPICIOUS,1,2026-03-05T09:51:46,21.1336766,81.1366826,17.41,79.53,1
43,STU061,98,3,1,2.78,7.18,fp_f92ff20320c0,0,0,0,0,0,2,NORMAL,0,2026-02-11T10:12:21,21.1341268,81.1347332,3.44,148.21,1
44,STU030,49,5,1,6.04,10.43,fp_725501e7231d,0,0,0,0,0,3,NORMAL,0,2026-03-04T10:46:50,21.1341614,81.1370593,25.18,93.37,1
45,STU046,22,2,1,3.15,11.34,fp_f02ed31da628,0,0,0,0,0,0,NORMAL,0,2026-04-12T08:26:08,21.133472,81.1351943,72.33,128.78,1
46,STU081,30,1,1,2.61,8.12,fp_c762cd2d5bc5,1,0,0,0,0,57,SUSPICIOUS,1,2026-03-13T12:34:18,21.1388602,81.1339569,56.61,566.33,0
47,STU003,65,1,1,1.82,4.24,fp_e710c6699cbc,1,0,1,0,0,80,SUSPICIOUS,1,2026-04-04T11:19:43,21.1341241,81.1415082,77.96,554.76,0
